,question
44800,Who is the Colourist that has a Story Title of Broken Glass (part 3) and a Letterer of Albers?
44801,What is the Cover Date of the Story Title Spacehikers (Part 2)?
44802,What is the Story Title that has Albers as the Letterer?
44803,Who are the drivers with 133 laps in OC class?
44804,What are the most laps for the Qual position of 7 in the OC class?
44805,What are Perkins Engineering's fewest laps?
44806,Which class has a Qual position of 30?
44807,"What Release date has a Version of 1.0, a Category of utilities, a Developer of microsoft, and a Title of msn money?"
44808,"What Release date has a Category of utilities, a Developer of microsoft, and a Title of chord finder?"
44809,"What Developer has a Release date of 2010-12-16, and a Title of facebook?"
44810,What Title has a Version of 1.0.0.3?
44811,What Version has a Title of alarm clock?
44812,"What Version has a Developer of dino games, and a Title of metronome?"
44813,Where did Wales play?
44814,What venue has 19 against?
44815,"Which Award Ceremony has a Nominee of sarah travis, and a Category of the best orchestrations?"
44816,What is the most current year signed for separation of † and a separation year of 1997?
44817,What is the Chinese name for the English name Andy Lau?
44818,What year was Wilfred Lau separated because Capital stopped recording music?
44819,What is the English name for the Chinese name of 蘇永康 later than 1974?
44820,What was the signed year for the Chinese name 蘇永康 who separated in 1987?
44821,WHAT IS THE SITE ON OCTOBER 7?
44822,WHAT DATE HAD 6 RANK?
44823,WHAT OPPONENT WAS ON OCTOBER 7?
44824,WHAT RANK HAD A RESULT OF W13-3?
44825,What is the original NFL team of the College of Oregon DT Player?
44826,What Player is from Iowa State?
44827,"What was the result of the game that had 77,702 people in attendance?"
44828,On what day did the team play the Indianapolis Colts?
44829,"What is the average Played, when Goals Against is less than 63, when Team is ""Nelson"", and when Lost is greater than 16?"
44830,"What is the total number of Goals For, when Points 1 is ""41""?"
44831,"What is the lowest Position, when Lost is greater than 15, when Team is Cheadle Town, and when Drawn is greater than 8?"
44832,"What is the lowest Position, when Points 1 is ""39"", and when Goals Against is greater than 49?"
44833,WHAT SEASON HAD COACH JONAS KAZLAUSKAS AT champions cup group stage?
44834,WHAT IS THE LKF CUP WITH euroleague group stage AND bbl elite division finalist?
44835,"WHAT IS THE ERUPE WITH HEAD COACH vainauskas , sakalauskas AND WITH NEBL FINALIST?"
44836,"What is the American sound that has a 17th century equivalent of ɪ, and a Semi-closed initial unstressed vowels of i /ɪ, ɨ/?"
44837,What is the American sound that has a 17th century equivalent of ɔ?
44838,"What is the entry for the Australian sound that has an example of illyria, cf. cirrhosis?"
44839,"For the 17th century entry of ɐ, what is Semi-closed initial unstressed vowels?"
44840,What is the entry for the Australian sound that has a 17th century equivalent of ɐ?
44841,"What is the example for the American of ɪ, ə, and a Semi-closed initial unstressed vowels of y /ɨ/?"
44842,What field is an opponent of cannons and resulted with w 16-11?
44843,what is the result from texas stadium?
44844,What field resulted with w 18-12?
44845,What field had results of w 18-12?
44846,"WHAT ARE THE HIGHEST POINTS WITH GOALS LARGER THAN 48, WINS LESS THAN 19, GOALS AGAINST SMALLER THAN 44, DRAWS LARGER THAN 5?"
44847,"WHAT ARE THE TOTAL NUMBER OF POINTS WITH WINS SMALLER THAN 14, AT SD INDAUCHU, POSITION BIGGER THAN 12?"
44848,"WHAT ARE THE GOALS WITH DRAWS SMALLER THAN 6, AND LOSSES SMALLER THAN 7?"
44849,"How many 2010s have a 2007 greater than 4.6, and 8.2 as a 2006?"
44850,"What 2010 has a 2006 less than 6.9, a 2008 greater than 1.6, and 2 for 2007?"
44851,"How many 2008s have 6.9 as a 2006, with a 2007 less than 7.1?"
44852,"What is the highest 2010 that has a 2009 less than 6.5, 0.4 as the 2008, with a 2007 less than 0.5?"
44853,"How many 2007s have 0.2 as a 2006, with a 2010 less than 0.1?"
44854,"What Tournament has an Outcome of runner-up, and a Score of 4–6, 3–6?"
44855,What Surface has a Date of 1 september 2008?
44856,What Score has an Opponent of nina bratchikova?
44857,"What Surface has a Tournament of pune, india?"
44858,What Tournament has a Date of 20 december 2010?
44859,"What Tournament has a Score of 5–7, 2–6?"
44860,Which Place has a Score of 71-70=141?
44861,Which Country has a Score of 69-66=135?
44862,Which Country has a To par of –9?
44863,"Which To par has a Country of united states, and a Score of 71-70=141?"
44864,"Which Player has a To par of –5, and a Country of england?"
44865,"Which Category has an Award of monte carlo tv festival awards, and a Year larger than 2010?"
44866,How many years have a Result of nominated?
44867,Which Result has a Category of outstanding actor (drama)?
44868,Which Result has an Award of virgin media tv awards?
44869,What is the prize money for the second round qualifying that is listed?
44870,"How many years have runner-up as the outcome, and indian wells as the championship?"
44871,What score has 2000 as the year?
44872,"What surface has indian wells as the championship, with winner as the outcome?"
44873,Which average money has a To par larger than 12?
44874,"Which Country has a To par smaller than 6, and a Money ($) larger than 700, and a Score of 69-73-70-71=283?"
44875,"Which average money has a Place of t10, and a Player of denny shute, and a To par larger than 12?"
44876,"Which Country has a Money ($) of 0, and a Place of t10?"
44877,What is the highest FLap by a Honda NSR500 bike after Race 16?
44878,"Which Fate has a Tonnage (GRT) larger than 1,352, and a Name of lavington court?"
44879,"How much tonnage Tonnage (GRT) has a Nationality of united kingdom, and a Date of 27 june 1941?"
44880,Which Nationality has a Date of 8 may 1942?
44881,What is Canada's highest round before 1973?
44882,What year was The Saber nominated for best action?
44883,What was awarded before 2013 to the Saber in the category of Best Action?
44884,What date had the patent number US plant patent 12098?
44885,What's the mutated having a patent number of US plant patent 9645?
44886,What's the patent number when it was mutated from Yakata 7001 and a standard habit?
44887,What's the patent number of Fukuda?
44888,"Who's the inventor when it was mutated from Redsport Type 2, has a stripe pattern and a spur habit?"
44889,What's the mutated of Auvil?
44890,Which model has a top speed of 231km/h (143mph)?
44891,"How fast can the SLK200K, with a top speed of 236km/h (147mph), accelerate to 100km/h (62mph)?"
44892,What is the 0–100km/h (62mph) acceleration of the model with a top speed of 208km/h (129mph)?
44893,What is the top speed of the SLK200K that produces 122kw (163hp)?
44894,What is the Latin term for the Greek symbol μ?
44895,Which role had a closing broadway cast of Adam Grupper?
44896,What was the original US Tour cast when the original broadway was Kevin Chamberlin?
44897,What was the original nonequity tour when the original broadway was Kevin Chamberlin?
44898,What was the role when the original broadway was Adam Riegler?
44899,What is the number for the international with 669 domestic earlier than 2005?
44900,"What year was the international lower than 17,517 and domestic was less than 545?"
44901,What was the score on 14 march 2004?
44902,In what season was Kilmarnock a finalist and Hibernian the winner?
44903,Who were the finalists in the 1972–73 season?
44904,In which season did the Rangers win with a score of 2–1?
44905,When did Motherwell win?
44906,What is the smallest rate of burglary when forcible rape is 39.1 and motor vehicle theft is less than 568.8?
44907,"When population is greater than 832,901 and murder and non-negligent manslaughter is 11.6, what is the smallest burglary?"
44908,"What is the total rate of murder and non-negligent manslaughter when larceny-theft is 3,693.9 and burglary is more than 1,027.0?"
44909,What is the name for district total:?
44910,What is the electorates in 2009 for Modi Nagar?
44911,"Who was the opponent on 12 May, when the match day was more than 33?"
44912,What is the largest issue date for an album that reached position of 3?
44913,What is the record on March 16?
44914,What was the score on January 23?
44915,How many strokes off par was the player who scored 157?
44916,Which player who won in 1977 and scored great than 155 was the closest to par?
44917,What country was the player who was 11 off par from?
44918,What was the Home team in Tie no 16?
44919,What is the Date of Tie no 9?
44920,What is the Score in Tie 2?
44921,What is the Tie no when Scarborough is the Home team?
44922,What is the Tie no when Swansea City is the Away team with a Score of 2–2?
44923,What is the name of constituency 5?
44924,"What label is released on September 20, 2005?"
44925,What is the lowest total with an all around of 10 and a rope higher than 10?
44926,What is Bianka Panova's highest total with lower than place 1?
44927,What is Milena Reljin's place with a smaller than 9.8 rope?
44928,What is the highest game with a 24-23 record?
44929,"What is the highest game with a 1-0 record, and the Hornets scored more than 100?"
44930,When was Daniel Moro born?
44931,What was the score for the player than won $450?
44932,"What is the score of the player that had a to par score of +9 and took home less than $1,000?"
